序号,医院名称,综合等级
1,中国人民解放军总医院,A++++
2,中国医学科学院北京协和医院,A++++
3,北京大学第一医院,A++++
4,北京大学第三医院,A++++
5,中国医科大学附属第一医院,A++++
6,上海交通大学医学院附属仁济医院,A++++
7,上海交通大学医学院附属瑞金医院,A++++
8,复旦大学附属中山医院,A++++
9,复旦大学附属华山医院,A++++
10,浙江大学医学院附属第一医院,A++++
11,浙江大学医学院附属第二医院,A++++
12,郑州大学第一附属医院,A++++
13,华中科技大学同济医学院附属协和医院,A++++
14,华中科技大学同济医学院附属同济医院,A++++
15,中南大学湘雅二医院,A++++
16,中南大学湘雅医院,A++++
17,中山大学附属第一医院,A++++
18,南方医科大学南方医院,A++++
19,四川大学华西医院,A++++
20,中日友好医院,A+++
21,中国医学科学院阜外医院,A+++
22,中国医学科学院肿瘤医院,A+++
23,北京大学人民医院,A+++
24,首都医科大学附属北京儿童医院,A+++
25,首都医科大学附属北京天坛医院,A+++
26,首都医科大学附属北京同仁医院,A+++
27,上海市第六人民医院,A+++
28,上海交通大学医学院附属第九人民医院,A+++
29,复旦大学附属儿科医院,A+++
30,复旦大学附属肿瘤医院,A+++
31,海军军医大学第一附属医院,A+++
32,江苏省人民医院（南京医科大学第一附属医院）,A+++
33,南京大学医学院附属鼓楼医院,A+++
34,山东大学齐鲁医院,A+++
35,广东省人民医院,A+++
36,广州医科大学附属第一医院,A+++
37,中山大学肿瘤防治中心,A+++
38,陆军军医大学第一附属医院,A+++
39,北京积水潭医院,A++
40,首都医科大学附属北京安贞医院,A++
41,首都医科大学宣武医院,A++
42,中国医科大学附属盛京医院,A++
43,上海市肺科医院,A++
44,上海交通大学医学院附属新华医院,A++
45,复旦大学附属眼耳鼻喉科医院,A++
46,中国人民解放军东部战区总医院,A++
47,东南大学附属中大医院,A++
48,苏州大学附属第一医院,A++
49,浙江大学医学院附属邵逸夫医院,A++
50,福建医科大学附属第一医院,A++
51,南昌大学第一附属医院,A++
52,山东第一医科大学附属省立医院（山东省立医院）,A++
53,青岛大学附属医院,A++
54,武汉大学人民医院,A++
55,武汉大学中南医院,A++
56,中山大学附属第三医院,A++
57,重庆医科大学附属第一医院,A++
58,四川大学华西口腔医院,A++
59,北京大学口腔医院,A+
60,北京大学肿瘤医院,A+
61,北京医院,A+
62,首都医科大学附属北京友谊医院,A+
63,首都医科大学附属北京朝阳医院,A+
64,天津医科大学肿瘤医院,A+
65,天津医科大学总医院,A+
66,吉林大学第一医院,A+
67,哈尔滨医科大学附属第二医院,A+
68,浙江大学医学院附属儿童医院,A+
69,中国科学技术大学附属第一医院（安徽省立医院）,A+
70,安徽医科大学第一附属医院,A+
71,中南大学湘雅三医院,A+
72,广州市妇女儿童医疗中心,A+
73,中山大学中山眼科中心,A+
74,中山大学孙逸仙纪念医院,A+
75,南方医科大学珠江医院,A+
76,重庆医科大学附属儿童医院,A+
77,四川大学华西第二医院,A+
78,西安交通大学第一附属医院,A+
79,北京大学第六医院,A
80,首都医科大学附属北京世纪坛医院,A
81,中国人民解放军北部战区总医院,A
82,哈尔滨医科大学附属第一医院,A
83,上海市第一人民医院,A
84,上海市精神卫生中心,A
85,上海交通大学医学院附属上海儿童医学中心,A
86,复旦大学附属妇产科医院,A
87,海军军医大学第二附属医院,A
88,浙江大学医学院附属妇产科医院,A
89,温州医科大学附属眼视光医院,A
90,福建医科大学附属协和医院,A
91,河南省人民医院,A
92,武汉大学口腔医院,A
93,深圳市人民医院,A
94,陆军军医大学第二附属医院,A
95,西安交通大学第二附属医院,A
