专科ID,专科名称,专科排名,医院名称,声誉得分
1,"重症医学","1","中国医学科学院北京协和医院",10.725
1,"重症医学","2","东南大学附属中大医院",9.522
1,"重症医学","3","四川大学华西医院",7.754
1,"重症医学","4","中山大学附属第一医院",6.493
1,"重症医学","5","上海交通大学医学院附属瑞金医院",5.928
1,"重症医学","6","哈尔滨医科大学附属第一医院",5.768
1,"重症医学","7","中国医科大学附属第一医院",3.522
1,"重症医学","8","中南大学湘雅医院",2
1,"重症医学","9","武汉大学中南医院",1.884
1,"重症医学","10","中国人民解放军东部战区总医院",1.565
3,"整形外科","1","上海交通大学医学院附属第九人民医院",10.814
3,"整形外科","2","中国医学科学院整形外科医院",10.052
3,"整形外科","3","南方医科大学南方医院",6.289
3,"整形外科","4","中国医学科学院北京协和医院",5.825
3,"整形外科","5","空军军医大学第一附属医院（西京医院）",4.588
3,"整形外科","6","华中科技大学同济医学院附属协和医院",4.515
3,"整形外科","7","复旦大学附属中山医院",2.753
3,"整形外科","8","中国医科大学附属第一医院",1.835
3,"整形外科","9","北京大学第三医院",1.629
3,"整形外科","10","陆军军医大学第一附属医院",1.402
4,"眼科","1","中山大学中山眼科中心",11
4,"眼科","2","首都医科大学附属北京同仁医院",9.279
4,"眼科","3","复旦大学附属眼耳鼻喉科医院",7.93
4,"眼科","4","浙江大学医学院附属第二医院",6.558
4,"眼科","5","温州医科大学附属眼视光医院",5.733
4,"眼科","6","中国医学科学院北京协和医院",4.302
4,"眼科","7","上海交通大学医学院附属第九人民医院",3.349
4,"眼科","8","上海市第一人民医院",2.884
4,"眼科","9","天津市眼科医院",2.244
4,"眼科","10","北京大学人民医院",1.488
5,"血液科","1","中国医学科学院血液病医院（血液学研究所）",10.337
5,"血液科","2","北京大学人民医院",9.856
5,"血液科","3","上海交通大学医学院附属瑞金医院",8.481
5,"血液科","4","苏州大学附属第一医院",8.029
5,"血液科","5","华中科技大学同济医学院附属协和医院",5.423
5,"血液科","6","浙江大学医学院附属第一医院",5.183
5,"血液科","7","中国医学科学院北京协和医院",2.856
5,"血液科","8","南方医科大学南方医院",2.798
5,"血液科","9","陆军军医大学第二附属医院",1.981
5,"血液科","10","山东大学齐鲁医院",1.817
6,"胸外科","1","中国医学科学院肿瘤医院",11.224
6,"胸外科","2","上海市肺科医院",8.653
6,"胸外科","3","上海交通大学医学院附属胸科医院",8.122
6,"胸外科","4","四川大学华西医院",6.959
6,"胸外科","5","广州医科大学附属第一医院",5.735
6,"胸外科","6","复旦大学附属中山医院",4.347
6,"胸外科","7","北京大学人民医院",3.469
6,"胸外科","8","中山大学肿瘤防治中心",2.612
6,"胸外科","9","上海交通大学医学院附属瑞金医院",2.184
6,"胸外科","10","复旦大学附属肿瘤医院",1.592
7,"心血管病","1","中国医学科学院阜外医院",10.411
7,"心血管病","2","复旦大学附属中山医院",9.402
7,"心血管病","3","首都医科大学附属北京安贞医院",8.009
7,"心血管病","4","中国人民解放军北部战区总医院",5.277
7,"心血管病","5","浙江大学医学院附属第二医院",4.464
7,"心血管病","6","广东省人民医院",3.411
7,"心血管病","7","四川大学华西医院",3.063
7,"心血管病","8","哈尔滨医科大学附属第二医院",3.018
7,"心血管病","9","北京大学第一医院",2.045
7,"心血管病","10","上海交通大学医学院附属瑞金医院",1.768
8,"心外科","1","中国医学科学院阜外医院",11.3
8,"心外科","2","首都医科大学附属北京安贞医院",8.9
8,"心外科","3","复旦大学附属中山医院",7.225
8,"心外科","4","华中科技大学同济医学院附属协和医院",7.05
8,"心外科","5","广东省人民医院",5.725
8,"心外科","6","空军军医大学第一附属医院（西京医院）",3.8
8,"心外科","7","四川大学华西医院",3.525
8,"心外科","8","上海交通大学医学院附属上海儿童医学中心",2.025
8,"心外科","9","中南大学湘雅二医院",2
8,"心外科","10","福建医科大学附属协和医院",1.125
9,"小儿外科","1","首都医科大学附属北京儿童医院",10.982
9,"小儿外科","2","复旦大学附属儿科医院",8.964
9,"小儿外科","3","重庆医科大学附属儿童医院",6.4
9,"小儿外科","4","浙江大学医学院附属儿童医院",5.818
9,"小儿外科","5","广州市妇女儿童医疗中心",5.455
9,"小儿外科","6","中国医科大学附属盛京医院",5.418
9,"小儿外科","7","华中科技大学同济医学院附属同济医院",4.673
9,"小儿外科","8","上海交通大学医学院附属新华医院",3.455
9,"小儿外科","9","上海交通大学医学院附属上海儿童医学中心",3.145
9,"小儿外科","10","首都儿科研究所",1.309
10,"小儿内科","1","复旦大学附属儿科医院",10.935
10,"小儿内科","2","首都医科大学附属北京儿童医院",10.043
10,"小儿内科","3","重庆医科大学附属儿童医院",7.761
10,"小儿内科","4","浙江大学医学院附属儿童医院",7.391
10,"小儿内科","5","上海交通大学医学院附属上海儿童医学中心",6
10,"小儿内科","6","北京大学第一医院",4.011
10,"小儿内科","7","上海交通大学医学院附属新华医院",3.652
10,"小儿内科","8","四川大学华西第二医院",3.174
10,"小儿内科","9","广州市妇女儿童医疗中心",3.12
10,"小儿内科","10","中国医科大学附属盛京医院",1.891
11,"消化科","1","上海交通大学医学院附属仁济医院",8.731
11,"消化科","2","中国医学科学院北京协和医院",8.496
11,"消化科","3","海军军医大学第一附属医院",7.126
11,"消化科","4","中国人民解放军总医院",5.874
11,"消化科","5","空军军医大学第一附属医院（西京医院）",5.546
11,"消化科","6","四川大学华西医院",4.521
11,"消化科","7","首都医科大学附属北京友谊医院",4.092
11,"消化科","8","中山大学附属第一医院",3.555
11,"消化科","9","复旦大学附属中山医院",1.933
11,"消化科","10","南方医科大学南方医院",1.756
12,"生殖医学","1","北京大学第三医院",10.167
12,"生殖医学","2","郑州大学第一附属医院",7.667
12,"生殖医学","3","山东大学附属生殖医院",7.019
12,"生殖医学","4","中信湘雅生殖与遗传专科医院",5.87
