排名,医院名称,科技产出,学术影响,科技条件,量值
1,四川大学华西医院,61.46,22.77,15.77,100
2,中国医学科学院北京协和医院,36.29,17.43,13.34,67.06
3,复旦大学附属中山医院,30.26,17.51,10.17,57.94
4,华中科技大学同济医学院附属同济医院,26,15.88,10.46,52.34
5,浙江大学医学院附属第一医院,21.01,13.34,12.78,47.13
6,北京大学第三医院,26.1,10.43,10.26,46.79
7,华中科技大学同济医学院附属协和医院,23.9,15.13,7.27,46.3
8,中南大学湘雅医院,23.34,10.12,11.7,45.16
9,上海交通大学医学院附属第九人民医院,21.62,14.5,7.91,44.03
10,中国医学科学院肿瘤医院,14.58,18.42,9.37,42.37
11,上海交通大学医学院附属瑞金医院,16.64,12.92,12.01,41.57
12,中山大学肿瘤防治中心,21.46,12.99,7.11,41.56
13,浙江大学医学院附属第二医院,15,17.3,8.01,40.31
14,北京大学第一医院,19.32,10.84,7.98,38.14
15,中国医学科学院阜外医院,14.27,14.95,8.01,37.23
16,北京大学人民医院,18.88,10.56,6.72,36.16
17,复旦大学附属华山医院,14.19,13.18,8.72,36.09
18,南京医科大学第一附属医院,18.67,9.01,6.77,34.45
19,上海交通大学医学院附属仁济医院,15.71,11.05,7.41,34.17
20,南方医科大学南方医院,16.47,7.96,9.16,33.59
21,中南大学湘雅二医院,14.19,10.02,8.55,32.76
22,郑州大学第一附属医院,19.74,6,6.97,32.71
23,广州医科大学附属第一医院,13.36,12.51,6.13,32
24,西安交通大学第一附属医院,24.33,4.11,3.14,31.58
25,四川大学华西口腔医院,12.49,10.67,7.9,31.06
26,中国医科大学附属第一医院,14.42,7.09,9.4,30.91
27,首都医科大学附属北京天坛医院,13.47,9.65,6.99,30.11
28,首都医科大学宣武医院,12.36,10.48,7.19,30.03
29,中日友好医院,13.38,9.92,5.74,29.04
30,中山大学附属第一医院,16.41,6.77,4.97,28.15
31,武汉大学中南医院,12.36,12.93,2.17,27.46
32,武汉大学人民医院,16.96,7.19,2.91,27.06
33,苏州大学附属第一医院,12.13,8.68,5.7,26.51
34,山东大学齐鲁医院,13.6,6.4,6.3,26.3
35,上海市第六人民医院,14.03,9.3,1.88,25.21
36,北京大学口腔医院,9.9,6.07,8.87,24.84
37,北京医院,13.54,4.26,6.27,24.07
38,首都医科大学附属北京友谊医院,12.11,5.55,5.98,23.64
39,南京鼓楼医院,12.65,7.58,2.78,23.01
40,复旦大学附属肿瘤医院,11.33,8.64,2.22,22.19
41,吉林大学第一医院,14.73,3.11,4.23,22.07
42,山东省立医院,12.78,6.06,2.52,21.36
43,上海市第一人民医院,9.6,7.39,4.33,21.32
44,浙江大学医学院附属邵逸夫医院,11.92,4.67,4.16,20.75
45,中国医科大学附属盛京医院,13.18,5.02,2.38,20.58
46,广东省中医院,9.02,7.46,3.79,20.27
47,重庆医科大学附属第一医院,10.84,6.99,2.19,20.02
48,首都医科大学附属北京同仁医院,8.05,8.72,3.13,19.9
49,北京大学肿瘤医院,8.46,6.48,4.14,19.08
50,青岛大学附属医院,12.36,4.71,1.83,18.9
51,广东省人民医院,10.21,5.74,2.54,18.49
52,首都医科大学附属北京安贞医院,8.83,4.09,5.53,18.45
52,上海交通大学医学院附属新华医院,9.17,6.37,2.91,18.45
54,中山大学孙逸仙纪念医院,8.85,6,3.34,18.19
55,首都医科大学附属北京朝阳医院,11.95,3.84,2.34,18.13
56,温州医科大学附属眼视光医院,5.33,3.47,9.28,18.08
